
################################################################################
#
# This file has been generated by SpyGlass:
#     Report Name      : Ac_conv02.csv
#     Report Created by: gokulgopalakrishnan
#     Report Created on:  Wed Aug 12 15:23:32 2026
#     Working Directory: /home/gokulgopalakrishnan/major_project/apb/async_fifo
#     SpyGlass Version : SpyGlass_vS-2021.09-SP1
#     Policy Name      : clock-reset(SpyGlass_vS-2021.09-SP1)
#
################################################################################
##Sheet_Prop:use_violation_based_waiver:1
##Sheet_Prop:instance_based_viol_col:1
##Sheet_Prop:hidecols:9
##Sheet_Prop:coltooltip:6##Same sources reconvergence
##Sheet_Prop:coltooltip:7##Indicates whether the source is scalar or not
ID,CONV_GATE,GATE_TYPE,NUMBER_OF_SYNCHRONIZERS, STATUS, SOURCE_DIVERGENCE,SCALAR_SOURCE, WAIVED,CSV_FILE
31,async_fifo.w1.b_rptr[0],combinational gate,6,PASSED,no,no,no,spyglass-1/cdc/cdc_verify/spyglass_reports/clock-reset/Ac_conv02/ac_conv_01.csv
33,async_fifo.w2.b_wptr[0],combinational gate,6,PASSED,no,no,no,spyglass-1/cdc/cdc_verify/spyglass_reports/clock-reset/Ac_conv02/ac_conv_02.csv
