
################################################################################
#
# This file has been generated by SpyGlass:
#     Report Name      : Ac_sync02.csv
#     Report Created by: gokulgopalakrishnan
#     Report Created on:  Wed Aug 12 15:23:32 2026
#     Working Directory: /home/gokulgopalakrishnan/major_project/apb/async_fifo
#     SpyGlass Version : SpyGlass_vS-2021.09-SP1
#     Policy Name      : clock-reset(SpyGlass_vS-2021.09-SP1)
#
################################################################################
##Sheet_Prop:use_violation_based_waiver:1
##Sheet_Prop:instance_based_viol_col:1
##Sheet_Prop:hidecols:10
##Sheet_Prop:cross-probecol:1
##Sheet_Prop: gen_constraint -constraint {cdc_false_path} -from {%3} -to {%5} -from_type {clock} -to_type {clock} -display_name  {cdc_false_path (clock->clock)}
##Sheet_Prop: gen_constraint -constraint {cdc_false_path} -from {%2} -to {%4} -from_type {data} -to_type {data} -display_name  {cdc_false_path (data->data)}
##Sheet_Prop: gen_constraint -constraint {cdc_false_path} -from {%2} -to {%5} -from_type {data} -to_type {clock} -display_name  {cdc_false_path (data->clock)}
##Sheet_Prop: gen_constraint -constraint {cdc_false_path} -from {%3} -to {%4} -from_type {clock} -to_type {data} -display_name  {cdc_false_path (clock->data)}
ID,SOURCE,SOURCE CLOCK,DEST.,DEST. CLOCK,METHOD,TOTAL SOURCES,TOTAL SOURCE DOMAINS,WAIVED,CSV FILE
14,async_fifo.w2.g_rptr[5:0],async_fifo.rclk,async_fifo.w1.sync1[5:0],async_fifo.wclk,"Conventional multi-flop for metastability technique",1,1,no,spyglass-1/cdc/cdc_verify/spyglass_reports/clock-reset/Ac_sync/ac_sync_01.csv
15,async_fifo.fifo_register[31:0][7:0],async_fifo.wclk,async_fifo.read_dataout[7:0],async_fifo.rclk,"Enable Based Synchronizer",1,1,no,spyglass-1/cdc/cdc_verify/spyglass_reports/clock-reset/Ac_sync/ac_sync_02.csv
16,async_fifo.w1.g_wptr[5:0],async_fifo.wclk,async_fifo.w2.sync1[5:0],async_fifo.rclk,"Conventional multi-flop for metastability technique",1,1,no,spyglass-1/cdc/cdc_verify/spyglass_reports/clock-reset/Ac_sync/ac_sync_03.csv
