################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: gokulgopalakrishnan
#     Report Created on: Wed Aug 12 15:24:04 2026
#     Working Directory: /home/gokulgopalakrishnan/major_project/apb/async_fifo
#     Report Location  : ./spyglass-1/cdc/cdc_verify/spyglass_reports/clock-reset/Ac_report01/adv_cdc_detail.csv
#     SpyGlass Version : SpyGlass_vS-2021.09-SP1
#     Policy Name      : clock-reset(SpyGlass_vS-2021.09-SP1)
#     Comment          : CSV File for Ac_report01 Rule
#
################################################################################
##Sheet_Prop:coltooltip:1##Properties enable/disabled
##Sheet_Prop:coltooltip:2##The name of spyglass rule.
##Sheet_Prop:coltooltip:3##Status of property.
##Sheet_Prop:coltooltip:4##Design hierarchy where the assertion/constraint was checked.
##Sheet_Prop:coltooltip:5##Violation specific details.
##Sheet_Prop:coltooltip:6##Vcd file name for failed assertions.
##Sheet_Prop:coltooltip:7##The location of the assertion/constraint.
##Sheet_Prop:coltooltip:8##The location of the assertion/constraint.
On/Off,RuleName,Status,Hierarchy,Violation Info,VCD, File,Line
off,Ac_conv02,PROVED,"async_fifo.w1","async_fifo.w1.b_rptr[0]",NA,async_fifo.v,113
off,Ac_conv02,PROVED,"async_fifo.w2","async_fifo.w2.b_wptr[0]",NA,async_fifo.v,67
off,Ac_cdc01a,PROVED,"async_fifo.w2","SFlop:async_fifo.g_wptr[5] SClk:async_fifo.wclk DFlop:async_fifo.w2.sync1[5] DClk:async_fifo.rclk",NA,async_fifo.v,34
on,Ac_datahold01a,Partially-Proved,"async_fifo","Des: "async_fifo.\read_dataout_reg[0] .Q", Src: "async_fifo.\fifo_register_reg[0][0] .Q"",NA,async_fifo.v,19
