################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: gokulgopalakrishnan
#     Report Created on: Wed Aug 12 15:24:04 2026
#     Working Directory: /home/gokulgopalakrishnan/major_project/apb/async_fifo
#     Report Location  : ./spyglass-1/cdc/cdc_verify/spyglass_reports/clock-reset/Ac_report01/adv_cdc_summary_current.csv
#     SpyGlass Version : SpyGlass_vS-2021.09-SP1
#     Policy Name      : clock-reset(SpyGlass_vS-2021.09-SP1)
#     Comment          : CSV File for Ac_report01 Rule
#
################################################################################
##Sheet_Prop:coltooltip:1##Rule name with property to be verified in functional check
##Sheet_Prop:coltooltip:2##Number of properties passed.
##Sheet_Prop:coltooltip:3##Number of properties failed.
##Sheet_Prop:coltooltip:4##Number of properties partially proved.
##Sheet_Prop:coltooltip:5##Number of properties not analyzed.
##Sheet_Prop:coltooltip:6##Number of properties with internal error or constraints conflict.
##Sheet_Prop:coltooltip:7##Total number of properties.
RuleName,Passed,Failed,Partially Proved (Average Depth),Not Analyzed,Others,Total
Ac_conv02,1,0,0,0,0,1
Ac_conv02,1,0,0,0,0,1
Ac_cdc01a,1,0,0,0,0,1
Ac_datahold01a,0,0,1(200),0,0,1
<Total>,3,0,1,0,0,4
