################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: gokulgopalakrishnan
#     Report Created on: Wed Aug 12 15:23:46 2026
#     Working Directory: /home/gokulgopalakrishnan/major_project/apb/async_fifo
#     Report Location  : ./spyglass-1/cdc/cdc_verify/spyglass_reports/clock-reset/Ac_conv02/ac_conv_01.csv
#     SpyGlass Version : SpyGlass_vS-2021.09-SP1
#     Policy Name      : clock-reset(SpyGlass_vS-2021.09-SP1)
#     Comment          : CSV File for Ac_conv Rule
#
################################################################################
##Sheet_Prop:disable_row_filtering
#CrossProbeTag:AC_CONV_SS_SCH
Schematic, Type, Signal Name, Source(s), Destination Clock(s), Source Clock(s),File:Line
1,Converging Gate,async_fifo.w1.b_rptr[0],"-","-","-",async_fifo.v:113
2,Destination flop,async_fifo.w1.sync1[5:0],"async_fifo.w2.g_rptr[5:0]","async_fifo.wclk","async_fifo.rclk",async_fifo.v:99
