################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: gokulgopalakrishnan
#     Report Created on: Wed Aug 12 15:23:35 2026
#     Working Directory: /home/gokulgopalakrishnan/major_project/apb/async_fifo
#     Report Location  : ./spyglass-1/cdc/cdc_verify/spyglass_reports/clock-reset/Setup_port01/async_fifo.csv
#     SpyGlass Version : SpyGlass_vS-2021.09-SP1
#     Policy Name      : clock-reset(SpyGlass_vS-2021.09-SP1)
#     Comment          : CSV File for Setup_port01 Rule
#
################################################################################
##Sheet_Prop:disable_row_filtering
Port Name, Port Direction, Status, Constraint(s),Inferred Data-path domain(s)
"wclk",input,"fully constrained","clock","-"
"wen",input,"fully constrained","input","-"
"wrst",input,"fully constrained","reset,Inferred abstract_port","async_fifo.wclk(d1)"
"write_datain[0:7]",input,"fully constrained","input","-"
"rclk",input,"fully constrained","clock","-"
"ren",input,"fully constrained","input","-"
"rrst",input,"fully constrained","reset,Inferred abstract_port","async_fifo.rclk(d2)"
