################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: gokulgopalakrishnan
#     Report Created on: Wed Aug 12 15:23:35 2026
#     Working Directory: /home/gokulgopalakrishnan/major_project/apb/async_fifo
#     Report Location  : ./spyglass-1/cdc/cdc_verify/spyglass_reports/clock-reset/Ac_sync/ac_sync_01.csv
#     SpyGlass Version : SpyGlass_vS-2021.09-SP1
#     Policy Name      : clock-reset(SpyGlass_vS-2021.09-SP1)
#     Comment          : CSV File for Clock Synchronization Checks
#
################################################################################
#CrossProbeTag:ADV_CLK_SYNC_SS_SCH
#RuleName:Ac_sync02
##Sheet_Prop:disable_msg_grouping
##Sheet_Prop:disable_row_filtering
##Sheet_Prop:waiver_file_name:Ac_sync02_waiver.csv
##Sheet_Prop:file_identifier:async_fifo.w1.sync1[5:0]
##Sheet_Prop:coltooltip:8##Unique tag number generated for clock net connected to sequential element/black-box.
Schematic,Type,Signal Name,Synchronization Scheme,Qualifier Name,Qualifier Depth,Clock Names,Internal Clock Domain Tag,File:Line
1,Destination flop,async_fifo.w1.sync1[5:0],"Conventional multi-flop for metastability technique",-,-,"async_fifo.wclk",0,async_fifo.v:99
1,Source flop,async_fifo.w2.g_rptr[5:0],"Conventional multi-flop for metastability technique",-,-,"async_fifo.rclk",1,async_fifo.v:56
