################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: gokulgopalakrishnan
#     Report Created on: Wed Aug 12 15:23:36 2026
#     Working Directory: /home/gokulgopalakrishnan/major_project/apb/async_fifo
#     Report Location  : ./spyglass-1/cdc/cdc_verify/spyglass_reports/clock-reset/Ac_sync/ac_sync_02.csv
#     SpyGlass Version : SpyGlass_vS-2021.09-SP1
#     Policy Name      : clock-reset(SpyGlass_vS-2021.09-SP1)
#     Comment          : CSV File for Clock Synchronization Checks
#
################################################################################
#CrossProbeTag:ADV_CLK_SYNC_SS_SCH
#RuleName:Ac_sync02
##Sheet_Prop:disable_msg_grouping
##Sheet_Prop:disable_row_filtering
##Sheet_Prop:waiver_file_name:Ac_sync02_waiver.csv
##Sheet_Prop:file_identifier:async_fifo.read_dataout[7:0]
##Sheet_Prop:coltooltip:8##Unique tag number generated for clock net connected to sequential element/black-box.
Schematic,Type,Signal Name,Synchronization Scheme,Qualifier Name,Qualifier Depth,Clock Names,Internal Clock Domain Tag,File:Line
2,Destination flop,async_fifo.read_dataout[7:0],"Enable Based Synchronizer",-,-,"async_fifo.rclk",1,async_fifo.v:19
2,Source flop,async_fifo.fifo_register[31:0][7:0],"Enable Based Synchronizer",async_fifo.w2.g_wptr_sync[5],0,"async_fifo.wclk",0,async_fifo.v:15
2,Vector Qualifier (detected),async_fifo.w2.g_wptr_sync[5],"Conventional multi-flop for metastability technique",-,0,"async_fifo.rclk",1,async_fifo.v:34
