################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: gokulgopalakrishnan
#     Report Created on: Wed Aug 12 15:24:04 2026
#     Working Directory: /home/gokulgopalakrishnan/major_project/apb/async_fifo
#     Report Location  : ./spyglass-1/cdc/cdc_verify/spyglass_reports/clock-reset/Ac_datahold01a/ac_datahold_00.csv
#     SpyGlass Version : SpyGlass_vS-2021.09-SP1
#     Policy Name      : clock-reset(SpyGlass_vS-2021.09-SP1)
#     Comment          : CSV File for Clock Synchronization Checks
#
################################################################################
##Sheet_Prop:disable_row_filtering
#CrossProbeTag:AC_DATAHOLD_SS_SCH
#RuleName:Ac_datahold01a
##Sheet_Prop:disable_msg_grouping
##Sheet_Prop:coltooltip:6##Unique tag number generated for clock net connected to sequential element/black-box.
Schematic,Type,Signal Name,Clock Names,Status
0,Destination flop,"async_fifo.read_dataout[7:0]","async_fifo.rclk",Partially-Proved
0,Source flop,"async_fifo.fifo_register[31:0][7:0]","async_fifo.wclk",Partially-Proved
